"","CT_ID_10","year","parcelpct","privateconflict","socdis","udensity","violence","ISD_nbhd","rperunit","udensity_lag1","udensity_lag2","parcelpct_lag1","parcelpct_lag2","rperunit_lag1","rperunit_lag2","medincome","udensity_lead1","udensity_lead2","parcelpct_lead1","parcelpct_lead2","rperunit_lead1","rperunit_lead2"
"25025000301-2015","25025000301","2015",0.0159574468085106,6.19621342512909,3.44234079173838,0.00749375520399667,8.60585197934595,1,0.130724396336386,0.00843170320404722,0,0.0159574468085106,0,0.0708263069139966,0.0158465387823186,79792,0.00941780821917808,0.0198961937716263,0.0177304964539007,0.0354609929078014,0.0770547945205479,0.177335640138408
"25025000301-2016","25025000301","2016",0.0177304964539007,5.50774526678141,2.06540447504303,0.00941780821917808,7.91738382099828,1,0.0770547945205479,0.00749375520399667,0.00843170320404722,0.0159574468085106,0.0159574468085106,0.130724396336386,0.0708263069139966,86773,0.0198961937716263,NA,0.0354609929078014,NA,0.177335640138408,NA
"25025000301-2017","25025000301","2017",0.0354609929078014,6.19621342512909,0.688468158347676,0.0198961937716263,5.50774526678141,1,0.177335640138408,0.00941780821917808,0.00749375520399667,0.0177304964539007,0.0159574468085106,0.0770547945205479,0.130724396336386,101761,NA,NA,NA,NA,NA,NA
"25025000302-2011","25025000302","2011",0.00355239786856128,5.47645125958379,2.19058050383352,0.00150262960180316,10.2227090178897,1,0,NA,NA,NA,NA,NA,NA,78198,0.00228484386900229,0.00386398763523957,0.00355239786856128,0.00710479573712256,0.00152322924600152,0.0208655332302937
"25025000302-2012","25025000302","2012",0.00355239786856128,5.61167227833894,2.24466891133558,0.00228484386900229,10.1010101010101,1,0.00152322924600152,0.00150262960180316,NA,0.00355239786856128,NA,0,NA,69438,0.00386398763523957,0.00455580865603645,0.00710479573712256,0.0106571936056838,0.0208655332302937,0.0493545937737282
"25025000302-2013","25025000302","2013",0.00710479573712256,6.94444444444444,4.16666666666667,0.00386398763523957,6.59722222222222,1,0.0208655332302937,0.00228484386900229,0.00150262960180316,0.00355239786856128,0.00355239786856128,0.00152322924600152,0,69384,0.00455580865603645,0.00813008130081301,0.0106571936056838,0.0159857904085258,0.0493545937737282,0.0635624538063563
"25025000302-2014","25025000302","2014",0.0106571936056838,7.39549839228296,2.89389067524116,0.00455580865603645,9.64630225080386,1,0.0493545937737282,0.00386398763523957,0.00228484386900229,0.00710479573712256,0.00355239786856128,0.0208655332302937,0.00152322924600152,70362,0.00813008130081301,0.00745712155108128,0.0159857904085258,0.0142095914742451,0.0635624538063563,0.141685309470544
"25025000302-2015","25025000302","2015",0.0159857904085258,5.31757754800591,2.06794682422452,0.00813008130081301,4.43131462333826,1,0.0635624538063563,0.00455580865603645,0.00386398763523957,0.0106571936056838,0.00710479573712256,0.0493545937737282,0.0208655332302937,72647,0.00745712155108128,0.0102040816326531,0.0142095914742451,0.019538188277087,0.141685309470544,0.120262390670554
"25025000302-2016","25025000302","2016",0.0142095914742451,5.31757754800591,1.7725258493353,0.00745712155108128,4.72673559822747,1,0.141685309470544,0.00813008130081301,0.00455580865603645,0.0159857904085258,0.0106571936056838,0.0635624538063563,0.0493545937737282,72526,0.0102040816326531,NA,0.019538188277087,NA,0.120262390670554,NA
"25025000302-2017","25025000302","2017",0.019538188277087,4.43131462333826,4.13589364844904,0.0102040816326531,3.54505169867061,1,0.120262390670554,0.00745712155108128,0.00813008130081301,0.0142095914742451,0.0159857904085258,0.141685309470544,0.0635624538063563,90691,NA,NA,NA,NA,NA,NA
"25025000401-2011","25025000401","2011",0,5.57692307692308,2.69230769230769,0,9.80769230769231,1,0,NA,NA,NA,NA,NA,NA,35104,0.000345781466113416,0.000349162011173184,0.00196850393700787,0.00196850393700787,0.000691562932226833,0
"25025000401-2012","25025000401","2012",0.00196850393700787,10.44540796216,1.97083169097359,0.000345781466113416,13.7958218368151,1,0.000691562932226833,0,NA,0,NA,0,NA,35050,0.000349162011173184,0.00578871201157742,0.00196850393700787,0.031496062992126,0,0.00687409551374819
"25025000401-2013","25025000401","2013",0.00196850393700787,6.83760683760684,3.41880341880342,0.000349162011173184,9.49667616334283,1,0,0.000345781466113416,0,0.00196850393700787,0,0.000691562932226833,0,38290,0.00578871201157742,0.00546050236621769,0.031496062992126,0.0255905511811024,0.00687409551374819,0.0764470331270477
"25025000401-2014","25025000401","2014",0.031496062992126,4.48605422274234,2.53559586502828,0.00578871201157742,5.65632923737078,1,0.00687409551374819,0.000349162011173184,0.000345781466113416,0.00196850393700787,0.00196850393700787,0,0.000691562932226833,37819,0.00546050236621769,0.00662251655629139,0.0255905511811024,0.0334645669291339,0.0764470331270477,0.069168506254599
"25025000401-2015","25025000401","2015",0.0255905511811024,5.86854460093897,1.76056338028169,0.00546050236621769,4.49921752738654,1,0.0764470331270477,0.00578871201157742,0.000349162011173184,0.031496062992126,0.00196850393700787,0.00687409551374819,0,44009,0.00662251655629139,0.014919941775837,0.0334645669291339,0.0767716535433071,0.069168506254599,0.2372634643377
"25025000401-2016","25025000401","2016",0.0334645669291339,3.71674491392801,0.391236306729264,0.00662251655629139,5.08607198748044,1,0.069168506254599,0.00546050236621769,0.00578871201157742,0.0255905511811024,0.031496062992126,0.0764470331270477,0.00687409551374819,47619,0.014919941775837,NA,0.0767716535433071,NA,0.2372634643377,NA
"25025000401-2017","25025000401","2017",0.0767716535433071,4.49921752738654,1.56494522691706,0.014919941775837,3.52112676056338,1,0.2372634643377,0.00662251655629139,0.00546050236621769,0.0334645669291339,0.0255905511811024,0.069168506254599,0.0764470331270477,50082,NA,NA,NA,NA,NA,NA
"25025000402-2011","25025000402","2011",0.00863557858376511,9.26445816956766,3.64963503649635,0.00333778371161549,19.0903986524424,1,0.00667556742323097,NA,NA,NA,NA,NA,NA,55459,0,0.00135685210312076,0,0.00345423143350604,0.00671140939597315,0.00474898236092266
